"","Gene","Module"
"945","HOOK1","yellow"
"946","CYP2J2","yellow"
"947","C1orf87","turquoise"
"948","NFIA","greenyellow"
"949","TM2D1","brown"
"950","PATJ","midnightblue"
"951","LOC107984965","blue"
"952","L1TD1","turquoise"
"953","KANK4","midnightblue"
"954","USP1","blue"
"955","DOCK7","brown"
"956","ANGPTL3","blue"
"957","ATG4C","brown"
"958","FOXD3-AS1","pink"
"959","FOXD3","blue"
"960","ALG6","brown"
"961","ITGB3BP","blue"
"962","EFCAB7","blue"
"963","DLEU2L","blue"
"964","PGM1","blue"
"965","ROR1","brown"
"966","ROR1-AS1","cyan"
"967","UBE2U","turquoise"
"968","CACHD1","yellow"
"969","RAVER2","brown"
"970","JAK1","brown"
"971","LINC01359","grey"
"972","MIR101-1","green"
"973","AK4","blue"
"974","DNAJC6","turquoise"
"975","LOC102724416","grey"
"976","LOC112268227","grey"
"977","LEPR","yellow"
"978","LEPROT","yellow"
"979","PDE4B","turquoise"
"980","SGIP1","grey"
"981","DYNLT5","green"
"982","INSL5","salmon"
"983","DNAI4","green"
"984","MIER1","grey"
"985","SLC35D1","brown"
"986","C1orf141","turquoise"
"987","IL23R","salmon"
"988","IL12RB2","black"
"989","SERBP1","green"
"990","GADD45A","blue"
"991","GNG12","yellow"
"992","GNG12-AS1","yellow"
"993","DIRAS3","grey"
"994","WLS","yellow"
"995","RPE65","turquoise"
"996","DEPDC1","blue"
"997","LRRC7","salmon"
"998","LRRC7-AS1","turquoise"
"999","LRRC40","brown"
"1000","SRSF11","blue"
